322:    MoveItem
341:    StoreItem
358:    DepositRefineItem
376:    RetrieveRefineItem
393:    RefineCancel
405:    RefineItem
421:    CheckRefine
437:    ReplaceWedRing
454:    DepositTradeItem
471:    RetrieveTradeItem
487:    TakeBackItem
503:    MergeItem
524:    EquipItem
545:    RemoveItem
566:    RemoveSlotItem
593:    SplitItem
614:    UseItem
631:    DropItem
653:    TakeBackHeroItem
670:    TransferHeroItem
686:    DropGold
701:    PickUp
712:    Inspect
737:    Observe
756:    ChangeAMode
771:    ChangePMode
786:    ChangeTrade
801:    Attack
819:    RangeAttack
845:    Harvest
859:    CallNPC
877:    BuyItem
898:    SellItem
916:    CraftItem
947:    RepairItem
962:    BuyItemBack
980:    SRepairItem
996:    RequestMapInfo
